year,Count
2010,43
2011,36
2012,69
2013,55
2014,1420
2015,2854
2016,2787
2017,3904
2018,3980
2019,2605
2020,5451
2021,3010
2022,2108
2023,2795
2024,2447
2025,2602
2026,632
