year,crime count
2008,85992
2009,85038
2010,81960
2011,76429
2012,74571
2013,79676
2014,84332
2015,83964
2016,87052
2017,89812
2018,92650
2019,84101
2020,86998
2021,81732
2022,87620
2023,83104
2024,82541
2025,78295
2026,24580
